| # | 학습자 발화(전사) | 학습자 전사 시각 | 비버 응답 시작 | **대기** | 비버 발화 길이 |
|---|---|---|---|---|---|
| 1 | I want to study Korean. | 11s | 11s | **0.0s** | 2.1s |
| 2 | 이 옷은 정말 싸요.이 옷은 정말 싸요. | 32s | 32s | **0.0s** | 1.9s |
| 3 | 약국 학교 앞에 약국이 있어요. | 46s | 46s | **0.0s** | 5.5s |
| 4 | 오늘 날씨가 맑습니다. | 72s | 72s | **0.0s** | 3.3s |
| 5 | 너는 한국어를 잘합니다.한국어 잘 하십니다. | 104s | 104s | **0.0s** | 3.8s |
| 6 | 가격이 싸요. | 125s | 125s | **0.0s** | 4.1s |
| 7 | 가격이 쌉니다 | 146s | 146s | **0.0s** | 3.0s |
| 8 | 학교 앞에 약국이 있습니다.학교 앞에 약국이 있습니다. | 176s | 176s | **0.0s** | 2.0s |
| 9 | 아니요, 없습니다. | 191s | 191s | **0.0s** | 2.8s |
| 10 | 오늘 날씨가 맑습니다. | 208s | 208s | **0.0s** | 3.0s |
| 11 | 오늘은 덥습니다.오늘은 덥습니다. | 235s | 235s | **0.0s** | 3.6s |
| 12 | 이 커피가 정말 싸네요. | 255s | 255s | **0.0s** | 3.4s |
| 13 | 호텔 앞에 편의점이 있어요. | 275s | 275s | **0.0s** | 4.1s |
| 14 | 오늘의 날씨가 맑습니다. | 303s | 311s | **8.2s** | 3.0s |
| 15 | 오늘 날씨가 맑습니다. | 327s | 327s | **0.0s** | 2.2s |
| 16 | 입이 좀 아파요. | 341s | 341s | **0.0s** | 3.1s |
| 17 | 지금 돈이 필요해요. | 358s | 358s | **0.0s** | 0.0s |
| 18 | What's the matter? | 371s | 371s | **0.0s** | 2.4s |
| 19 | I want to go to the zoo next time. | 393s | 393s | **0.0s** | 1.9s |
| 20 | I want to go to Halla Mountain. | 408s | 408s | **0.0s** | 2.3s |
| 21 | Mmm.I want to take picture a lot. | 431s | 431s | **0.0s** | 2.7s |
| 22 | Yes, I want to go to beach. too | 450s | 450s | **0.0s** | 1.9s |
| 23 | No.plus let's study KoreanBack aga | 475s | 475s | **0.0s** | 2.4s |
| 24 | 사다사요. | 500s | 500s | **0.0s** | 2.3s |
| 25 | 이 옷이 정말 싸네요. | 515s | 515s | **0.0s** | 1.9s |
| 26 | आप | 529s | 529s | **0.0s** | 1.8s |
| 27 | in | 539s | 539s | **0.0s** | 2.7s |
| 28 | 학교 앞에 약국이 있어요.학교 앞에 약국이 있어요. | 561s | 561s | **0.0s** | 2.9s |
| 29 | 오늘 날씨가 맑습니다. | 581s | 581s | **0.0s** | 3.1s |
| 30 | 이 | 599s | 599s | **0.0s** | 1.6s |
| 31 | 이 위 좀 아파요. | 638s | 638s | **0.0s** | 3.5s |
| 32 | 입이 좀 아파요. | 656s | 656s | **0.0s** | 3.1s |
| 33 | 돈이 필요해요.돈이 필요해요. | 684s | 684s | **0.0s** | 3.8s |
| 34 | 여권 | 704s | 704s | **0.0s** | 2.3s |
| 35 | 여권이 필요해요. | 721s | 721s | **0.0s** | 2.5s |
| 36 | 학교 가기 전에 아침을 먹어요.학교 가기 전에 아침을 먹어요. | 755s | 755s | **0.0s** | 4.6s |
| 37 | 저는 싸고 예쁜 기념품을 사고 싶어요. | 786s | 786s | **0.0s** | 2.5s |
| 38 | 마그네틱 | 803s | 803s | **0.0s** | 2.0s |
| 39 | 제주도 마그네틱을 샀어요.제주도 magnetic을 샀어요 | 839s | 839s | **0.0s** | 2.8s |
| 40 | 돈이 필요해요. | 863s | 863s | **0.0s** | 2.5s |
| 41 | सर | 879s | 879s | **0.0s** | 3.0s |
| 42 | 학교 가기 전에 밥을 먹어요.학교 가기 전에 밥을 먹어요. | 904s | 904s | **0.0s** | 3.7s |

대기 시간: 중앙값 0.0s · 평균 0.2s · 최대 8.2s · 5초 초과 1건/42
